,Seed,n,Report Prop,Pref Dist Type,# Buckets,Pos/Neg Effect,Liquidity,# Rounds
88,2592,1000,1.00,correlated,825,+175 / -799,0.175,825
89,2592,1000,1.00,correlated,850,+150 / -822,0.15,850
90,2592,1000,1.00,correlated,875,+125 / -847,0.125,875
91,2592,1000,1.00,correlated,900,+100 / -872,0.1,900
92,2592,1000,1.00,correlated,925,+75 / -896,0.075,925
93,2592,1000,1.00,correlated,950,+50 / -919,0.05,950
94,2592,1000,1.00,correlated,975,+25 / -944,0.025,975
95,2592,1000,1.00,correlated,1000,+0 / -968,0.0,1000
96,2592,1000,1.00,uniform,5,+739 / -242,0.971,97
97,2592,1000,1.00,uniform,10,+658 / -322,0.946,147
98,2592,1000,1.00,uniform,15,+612 / -381,0.93,174
99,2592,1000,1.00,uniform,20,+580 / -413,0.905,209
100,2592,1000,1.00,uniform,25,+553 / -441,0.901,223
101,2592,1000,1.00,uniform,30,+540 / -456,0.86,238
102,2592,1000,1.00,uniform,35,+528 / -467,0.869,238
103,2592,1000,1.00,uniform,40,+506 / -490,0.854,266
104,2592,1000,1.00,uniform,45,+491 / -505,0.839,273
105,2592,1000,1.00,uniform,50,+472 / -524,0.822,298
106,2592,1000,1.00,uniform,55,+456 / -541,0.807,313
107,2592,1000,1.00,uniform,60,+455 / -544,0.795,331
108,2592,1000,1.00,uniform,65,+446 / -551,0.78,331
109,2592,1000,1.00,uniform,70,+434 / -562,0.772,350
110,2592,1000,1.00,uniform,75,+425 / -571,0.763,351
111,2592,1000,1.00,uniform,80,+422 / -571,0.744,369
112,2592,1000,1.00,uniform,85,+417 / -578,0.765,348
113,2592,1000,1.00,uniform,90,+402 / -593,0.75,373
114,2592,1000,1.00,uniform,95,+398 / -598,0.714,392
115,2592,1000,1.00,uniform,100,+387 / -609,0.699,413
116,2592,1000,1.00,uniform,125,+372 / -626,0.672,435
117,2592,1000,1.00,uniform,150,+358 / -640,0.646,441
118,2592,1000,1.00,uniform,175,+357 / -641,0.584,464
119,2592,1000,1.00,uniform,200,+312 / -686,0.528,531
120,2592,1000,1.00,uniform,225,+333 / -666,0.542,512
121,2592,1000,1.00,uniform,250,+297 / -702,0.493,573
122,2592,1000,1.00,uniform,275,+331 / -668,0.505,528
123,2592,1000,1.00,uniform,300,+293 / -706,0.462,574
124,2592,1000,1.00,uniform,325,+261 / -738,0.416,626
125,2592,1000,1.00,uniform,350,+376 / -621,0.48,525
126,2592,1000,1.00,uniform,375,+344 / -654,0.446,561
127,2592,1000,1.00,uniform,400,+314 / -684,0.408,601
128,2592,1000,1.00,uniform,425,+285 / -713,0.376,635
129,2592,1000,1.00,uniform,450,+257 / -741,0.336,672
130,2592,1000,1.00,uniform,475,+234 / -764,0.308,706
131,2592,1000,1.00,uniform,500,+214 / -784,0.27,743
132,2592,1000,1.00,uniform,525,+500 / -496,0.475,525
133,2592,1000,1.00,uniform,550,+479 / -517,0.45,550
134,2592,1000,1.00,uniform,575,+457 / -539,0.425,575
135,2592,1000,1.00,uniform,600,+437 / -560,0.4,600
136,2592,1000,1.00,uniform,625,+416 / -581,0.375,625
137,2592,1000,1.00,uniform,650,+393 / -604,0.35,650
138,2592,1000,1.00,uniform,675,+374 / -624,0.325,675
139,2592,1000,1.00,uniform,700,+352 / -645,0.3,700
140,2592,1000,1.00,uniform,725,+332 / -666,0.275,725
141,2592,1000,1.00,uniform,750,+316 / -682,0.25,750
142,2592,1000,1.00,uniform,775,+300 / -698,0.225,775
143,2592,1000,1.00,uniform,800,+283 / -715,0.2,800
144,2592,1000,1.00,uniform,825,+265 / -733,0.175,825
145,2592,1000,1.00,uniform,850,+248 / -750,0.15,850
146,2592,1000,1.00,uniform,875,+233 / -765,0.125,875
147,2592,1000,1.00,uniform,900,+217 / -781,0.1,900
148,2592,1000,1.00,uniform,925,+204 / -794,0.075,925
149,2592,1000,1.00,uniform,950,+188 / -810,0.05,950
150,2592,1000,1.00,uniform,975,+173 / -825,0.025,975
151,2592,1000,1.00,uniform,1000,+163 / -835,0.0,1000
